Date,Translated version,Original tweet,Media source link
2018-03-08,"Happy #InternationalWomensDay

“First Lady Melania Trump to Present the 2018 International Women of Courage Award” https://t.co/EwYtFXGvn2","Happy #InternationalWomensDay

“First Lady Melania Trump to Present the 2018 International Women of Courage Award” https://t.co/EwYtFXGvn2","=HYPERLINK(""http://twitter.com/realDonaldTrump/status/971812821955735552"", ""Access details here"")"
2018-03-08,Looking forward to 3:30 P.M. meeting today at the White House. We have to protect &amp; build our Steel and Aluminum In… https://t.co/TOvuYY0vmd,Looking forward to 3:30 P.M. meeting today at the White House. We have to protect &amp; build our Steel and Aluminum In… https://t.co/TOvuYY0vmd,"=HYPERLINK(""http://twitter.com/realDonaldTrump/status/971726862526361603"", ""Access details here"")"
2018-03-07,The U.S. is acting swiftly on Intellectual Property theft. We cannot allow this to happen as it has for many years!,The U.S. is acting swiftly on Intellectual Property theft. We cannot allow this to happen as it has for many years!,"=HYPERLINK(""http://twitter.com/realDonaldTrump/status/971409845453762560"", ""Access details here"")"
2018-03-07,China has been asked to develop a plan for the year of a One Billion Dollar reduction in their massive Trade Defici… https://t.co/D2TzeyTmqX,China has been asked to develop a plan for the year of a One Billion Dollar reduction in their massive Trade Defici… https://t.co/D2TzeyTmqX,"=HYPERLINK(""http://twitter.com/realDonaldTrump/status/971402791930552322"", ""Access details here"")"
2018-03-07,"From Bush 1 to present, our Country has lost more than 55,000 factories, 6,000,000 manufacturing jobs and accumulat… https://t.co/PqL7IA75c4","From Bush 1 to present, our Country has lost more than 55,000 factories, 6,000,000 manufacturing jobs and accumulat… https://t.co/PqL7IA75c4","=HYPERLINK(""http://twitter.com/realDonaldTrump/status/971349864125788160"", ""Access details here"")"
2018-03-07,"@MarkBurnettTV @RealRomaDowney From Bush 1 to present, our Country has lost more than 55,000 factories, 6,000,000 m… https://t.co/ZWsYQugFPk","@MarkBurnettTV @RealRomaDowney From Bush 1 to present, our Country has lost more than 55,000 factories, 6,000,000 m… https://t.co/ZWsYQugFPk","=HYPERLINK(""http://twitter.com/realDonaldTrump/status/971345895223676929"", ""Access details here"")"
2018-03-07,"Great couple, great book! https://t.co/cLDI79rin8","Great couple, great book! https://t.co/cLDI79rin8","=HYPERLINK(""http://twitter.com/realDonaldTrump/status/971335759679709185"", ""Access details here"")"
2018-03-07,Will be making a decision soon on the appointment of new Chief Economic Advisor. Many people wanting the job - will choose wisely!,Will be making a decision soon on the appointment of new Chief Economic Advisor. Many people wanting the job - will choose wisely!,"=HYPERLINK(""http://twitter.com/realDonaldTrump/status/971186041171439616"", ""Access details here"")"
2018-03-06,"Possible progress being made in talks with North Korea. For the first time in many years, a serious effort is being… https://t.co/17I9VFMLrI","Possible progress being made in talks with North Korea. For the first time in many years, a serious effort is being… https://t.co/17I9VFMLrI","=HYPERLINK(""http://twitter.com/realDonaldTrump/status/971025582061424640"", ""Access details here"")"
2018-03-06,Federal Judge in Maryland has just ruled that “President Trump has the right to end DACA.” President Obama had 8 ye… https://t.co/Coh1fflMxK,Federal Judge in Maryland has just ruled that “President Trump has the right to end DACA.” President Obama had 8 ye… https://t.co/Coh1fflMxK,"=HYPERLINK(""http://twitter.com/realDonaldTrump/status/971019306388611073"", ""Access details here"")"
2018-03-06,"Lowest rated Oscars in HISTORY. Problem is, we don’t have Stars anymore - except your President (just kidding, of course)!","Lowest rated Oscars in HISTORY. Problem is, we don’t have Stars anymore - except your President (just kidding, of course)!","=HYPERLINK(""http://twitter.com/realDonaldTrump/status/971013841395027968"", ""Access details here"")"
2018-03-06,RT @EricTrump: Congratulations @FoxNews: Fox has 15 of the top 20 shows with @SeanHannity and @TuckerCarlson leading the pack at 1st and 2n…,RT @EricTrump: Congratulations @FoxNews: Fox has 15 of the top 20 shows with @SeanHannity and @TuckerCarlson leading the pack at 1st and 2n…,"=HYPERLINK(""http://twitter.com/realDonaldTrump/status/971009285181276160"", ""Access details here"")"
2018-03-06,We will see what happens! https://t.co/Y1qxoAUfd9,We will see what happens! https://t.co/Y1qxoAUfd9,"=HYPERLINK(""http://twitter.com/realDonaldTrump/status/971008891751485440"", ""Access details here"")"
2018-03-06,We are getting it done - jobs and security! https://t.co/Ui8bubj7Yr,We are getting it done - jobs and security! https://t.co/Ui8bubj7Yr,"=HYPERLINK(""http://twitter.com/realDonaldTrump/status/971008238673068038"", ""Access details here"")"
2018-03-06,Total inaction on DACA by Dems. Where are you? A deal can be made!,Total inaction on DACA by Dems. Where are you? A deal can be made!,"=HYPERLINK(""http://twitter.com/realDonaldTrump/status/971007733313961984"", ""Access details here"")"
2018-03-06,"The new Fake News narrative is that there is CHAOS in the White House. Wrong! People will always come &amp; go, and I w… https://t.co/gZx40h1psF","The new Fake News narrative is that there is CHAOS in the White House. Wrong! People will always come &amp; go, and I w… https://t.co/gZx40h1psF","=HYPERLINK(""http://twitter.com/realDonaldTrump/status/971006379375972354"", ""Access details here"")"
2018-03-05,"It’s March 5th and the Democrats are nowhere to be found on DACA. Gave them 6 months, they just don’t care. Where a… https://t.co/VuCAvyGCb7","It’s March 5th and the Democrats are nowhere to be found on DACA. Gave them 6 months, they just don’t care. Where a… https://t.co/VuCAvyGCb7","=HYPERLINK(""http://twitter.com/realDonaldTrump/status/970760324126212096"", ""Access details here"")"
2018-03-05,Why did the Obama Administration start an investigation into the Trump Campaign (with zero proof of wrongdoing) lon… https://t.co/YyfQtgZMpn,Why did the Obama Administration start an investigation into the Trump Campaign (with zero proof of wrongdoing) lon… https://t.co/YyfQtgZMpn,"=HYPERLINK(""http://twitter.com/realDonaldTrump/status/970650759091163137"", ""Access details here"")"
2018-03-05,To protect our Country we must protect American Steel! #AMERICA FIRST,To protect our Country we must protect American Steel! #AMERICA FIRST,"=HYPERLINK(""http://twitter.com/realDonaldTrump/status/970644394591309824"", ""Access details here"")"
2018-03-05,...treat our farmers much better. Highly restrictive. Mexico must do much more on stopping drugs from pouring into… https://t.co/7Bmn1xy747,...treat our farmers much better. Highly restrictive. Mexico must do much more on stopping drugs from pouring into… https://t.co/7Bmn1xy747,"=HYPERLINK(""http://twitter.com/realDonaldTrump/status/970628441115643904"", ""Access details here"")"
2018-03-05,"We have large trade deficits with Mexico and Canada. NAFTA, which is under renegotiation right now, has been a bad… https://t.co/SdLj0DaHLu","We have large trade deficits with Mexico and Canada. NAFTA, which is under renegotiation right now, has been a bad… https://t.co/SdLj0DaHLu","=HYPERLINK(""http://twitter.com/realDonaldTrump/status/970626966004162560"", ""Access details here"")"
2018-03-05,We are on the losing side of almost all trade deals. Our friends and enemies have taken advantage of the U.S. for m… https://t.co/kTZHwXqeMy,We are on the losing side of almost all trade deals. Our friends and enemies have taken advantage of the U.S. for m… https://t.co/kTZHwXqeMy,"=HYPERLINK(""http://twitter.com/realDonaldTrump/status/970451373681790978"", ""Access details here"")"
2018-03-04,The Gridiron Dinner last night was great fun. I am accomplishing a lot in Washington and have never had a better ti… https://t.co/BZHVReTuYi,The Gridiron Dinner last night was great fun. I am accomplishing a lot in Washington and have never had a better ti… https://t.co/BZHVReTuYi,"=HYPERLINK(""http://twitter.com/realDonaldTrump/status/970353692938469377"", ""Access details here"")"
2018-03-03,If the E.U. wants to further increase their already massive tariffs and barriers on U.S. companies doing business t… https://t.co/taytTlApWc,If the E.U. wants to further increase their already massive tariffs and barriers on U.S. companies doing business t… https://t.co/taytTlApWc,"=HYPERLINK(""http://twitter.com/realDonaldTrump/status/969994273121820672"", ""Access details here"")"
2018-03-03,The United States has an $800 Billion Dollar Yearly Trade Deficit because of our “very stupid” trade deals and poli… https://t.co/nFF3vEmRmY,The United States has an $800 Billion Dollar Yearly Trade Deficit because of our “very stupid” trade deals and poli… https://t.co/nFF3vEmRmY,"=HYPERLINK(""http://twitter.com/realDonaldTrump/status/969991653393039361"", ""Access details here"")"
2018-03-03,Mainstream Media in U.S. is being mocked all over the world. They’ve gone CRAZY! https://t.co/4UGYuJpUA7,Mainstream Media in U.S. is being mocked all over the world. They’ve gone CRAZY! https://t.co/4UGYuJpUA7,"=HYPERLINK(""http://twitter.com/realDonaldTrump/status/969989251537481730"", ""Access details here"")"
2018-03-03,Happy National Anthem Day! https://t.co/cf1eugMbKU,Happy National Anthem Day! https://t.co/cf1eugMbKU,"=HYPERLINK(""http://twitter.com/realDonaldTrump/status/969939200933056512"", ""Access details here"")"
2018-03-02,REST IN PEACE BILLY GRAHAM! https://t.co/2qMoUccVC2,REST IN PEACE BILLY GRAHAM! https://t.co/2qMoUccVC2,"=HYPERLINK(""http://twitter.com/realDonaldTrump/status/969660692419657728"", ""Access details here"")"
2018-03-02,"When a country Taxes our products coming in at, say, 50%, and we Tax the same product coming into our country at ZE… https://t.co/UFVLaWepzN","When a country Taxes our products coming in at, say, 50%, and we Tax the same product coming into our country at ZE… https://t.co/UFVLaWepzN","=HYPERLINK(""http://twitter.com/realDonaldTrump/status/969572374977839106"", ""Access details here"")"
2018-03-02,"We must protect our country and our workers. Our steel industry is in bad shape. IF YOU DON’T HAVE STEEL, YOU DON’T HAVE A COUNTRY!","We must protect our country and our workers. Our steel industry is in bad shape. IF YOU DON’T HAVE STEEL, YOU DON’T HAVE A COUNTRY!","=HYPERLINK(""http://twitter.com/realDonaldTrump/status/969558431802806272"", ""Access details here"")"
2018-03-02,"Eric, we are all with you and your family! Look forward to seeing you back on T.V. https://t.co/d6y3Q00BSy","Eric, we are all with you and your family! Look forward to seeing you back on T.V. https://t.co/d6y3Q00BSy","=HYPERLINK(""http://twitter.com/realDonaldTrump/status/969532384285687808"", ""Access details here"")"
2018-03-02,"Alec Baldwin, whose dying mediocre career was saved by his terrible impersonation of me on SNL, now says playing me… https://t.co/Ntuy4BRXmJ","Alec Baldwin, whose dying mediocre career was saved by his terrible impersonation of me on SNL, now says playing me… https://t.co/Ntuy4BRXmJ","=HYPERLINK(""http://twitter.com/realDonaldTrump/status/969529668234829825"", ""Access details here"")"
2018-03-02,When a country (USA) is losing many billions of dollars on trade with virtually every country it does business with… https://t.co/lPSkkolNRP,When a country (USA) is losing many billions of dollars on trade with virtually every country it does business with… https://t.co/lPSkkolNRP,"=HYPERLINK(""http://twitter.com/realDonaldTrump/status/969525362580484098"", ""Access details here"")"
2018-03-02,Good (Great) meeting in the Oval Office tonight with the NRA!,Good (Great) meeting in the Oval Office tonight with the NRA!,"=HYPERLINK(""http://twitter.com/realDonaldTrump/status/969408165308747777"", ""Access details here"")"
2018-03-02,RT @IvankaTrump: My OpEd on the importance of #YouthSports participation and how this Administration is seeking to lift barriers so all our…,RT @IvankaTrump: My OpEd on the importance of #YouthSports participation and how this Administration is seeking to lift barriers so all our…,"=HYPERLINK(""http://twitter.com/realDonaldTrump/status/969406846602752000"", ""Access details here"")"
2018-03-02,RT @Scavino45: “Trump Comes Through — Saves $1.4 Billion On New Air Force One” https://t.co/cN3TAQywpR,RT @Scavino45: “Trump Comes Through — Saves $1.4 Billion On New Air Force One” https://t.co/cN3TAQywpR,"=HYPERLINK(""http://twitter.com/realDonaldTrump/status/969406584534257671"", ""Access details here"")"
2018-03-02,Manufacturing growing at the fastest pace in almost two decades!,Manufacturing growing at the fastest pace in almost two decades!,"=HYPERLINK(""http://twitter.com/realDonaldTrump/status/969374909209239552"", ""Access details here"")"
2018-03-02,Jobless claims at a 49 year low!,Jobless claims at a 49 year low!,"=HYPERLINK(""http://twitter.com/realDonaldTrump/status/969374597127778304"", ""Access details here"")"
2018-03-01,"Together, we will face this challenge as a national family with conviction, with unity, and with a commitment to lo… https://t.co/7sw39LHddj","Together, we will face this challenge as a national family with conviction, with unity, and with a commitment to lo… https://t.co/7sw39LHddj","=HYPERLINK(""http://twitter.com/realDonaldTrump/status/969324283036971009"", ""Access details here"")"
2018-03-01,“Consumer Confidence in February Highest Since November 2000” https://t.co/UgAJRawExx,“Consumer Confidence in February Highest Since November 2000” https://t.co/UgAJRawExx,"=HYPERLINK(""http://twitter.com/realDonaldTrump/status/969311530733981698"", ""Access details here"")"
2018-03-01,“Manufacturing in U.S. Expands at Fastest Pace Since May 2004” https://t.co/XZkwS8tTml,“Manufacturing in U.S. Expands at Fastest Pace Since May 2004” https://t.co/XZkwS8tTml,"=HYPERLINK(""http://twitter.com/realDonaldTrump/status/969277822920470530"", ""Access details here"")"
2018-03-01,"Unemployment filings are at their lowest level in over 48 years. Great news for workers and JOBS, JOBS, JOBS! #MAGA https://t.co/SzHTarzfrW","Unemployment filings are at their lowest level in over 48 years. Great news for workers and JOBS, JOBS, JOBS! #MAGA https://t.co/SzHTarzfrW","=HYPERLINK(""http://twitter.com/realDonaldTrump/status/969272683061022721"", ""Access details here"")"
2018-03-01,Our Steel and Aluminum industries (and many others) have been decimated by decades of unfair trade and bad policy w… https://t.co/OEgFJVYtCs,Our Steel and Aluminum industries (and many others) have been decimated by decades of unfair trade and bad policy w… https://t.co/OEgFJVYtCs,"=HYPERLINK(""http://twitter.com/realDonaldTrump/status/969183644756660224"", ""Access details here"")"
2018-03-01,"Many ideas, some good &amp; some not so good, emerged from our bipartisan meeting on school safety yesterday at the Whi… https://t.co/aJ2m3fH3y3","Many ideas, some good &amp; some not so good, emerged from our bipartisan meeting on school safety yesterday at the Whi… https://t.co/aJ2m3fH3y3","=HYPERLINK(""http://twitter.com/realDonaldTrump/status/969178931369783296"", ""Access details here"")"
2018-02-28,It was an honor to welcome bipartisan members of Congress for a discussion on SAFE schools and SAFE communities. As… https://t.co/EPB1EN3HRc,It was an honor to welcome bipartisan members of Congress for a discussion on SAFE schools and SAFE communities. As… https://t.co/EPB1EN3HRc,"=HYPERLINK(""http://twitter.com/realDonaldTrump/status/968962582374621185"", ""Access details here"")"
2018-02-28,"Today we honor Billy Graham as only three private citizens before him have been honored. 

We say a prayer for our… https://t.co/CbrnqFwUuZ","Today we honor Billy Graham as only three private citizens before him have been honored. 

We say a prayer for our… https://t.co/CbrnqFwUuZ","=HYPERLINK(""http://twitter.com/realDonaldTrump/status/968924154031497226"", ""Access details here"")"
2018-02-28,"Starting at a small Bible School in Florida, Billy Graham soon led a nationwide revival. From a large tent in Los A… https://t.co/rhhuOssGmf","Starting at a small Bible School in Florida, Billy Graham soon led a nationwide revival. From a large tent in Los A… https://t.co/rhhuOssGmf","=HYPERLINK(""http://twitter.com/realDonaldTrump/status/968917941671612416"", ""Access details here"")"
2018-02-28,"Today, in the center of this great Chamber lies Billy Graham – an Ambassador for Christ who reminded the world of t… https://t.co/1pVcsV0cam","Today, in the center of this great Chamber lies Billy Graham – an Ambassador for Christ who reminded the world of t… https://t.co/1pVcsV0cam","=HYPERLINK(""http://twitter.com/realDonaldTrump/status/968896168230051850"", ""Access details here"")"
2018-02-28,Why is A.G. Jeff Sessions asking the Inspector General to investigate potentially massive FISA abuse. Will take for… https://t.co/3tKywTn98g,Why is A.G. Jeff Sessions asking the Inspector General to investigate potentially massive FISA abuse. Will take for… https://t.co/3tKywTn98g,"=HYPERLINK(""http://twitter.com/realDonaldTrump/status/968856971075051521"", ""Access details here"")"
2018-02-28,45 year low on illegal border crossings this year. Ice and Border Patrol Agents are doing a great job for our Count… https://t.co/Q6WZdxvUjS,45 year low on illegal border crossings this year. Ice and Border Patrol Agents are doing a great job for our Count… https://t.co/Q6WZdxvUjS,"=HYPERLINK(""http://twitter.com/realDonaldTrump/status/968850364383596545"", ""Access details here"")"
2018-02-28,I have decided that sections of the Wall that California wants built NOW will not be built until the whole Wall is… https://t.co/Vz6U6uS0Za,I have decided that sections of the Wall that California wants built NOW will not be built until the whole Wall is… https://t.co/Vz6U6uS0Za,"=HYPERLINK(""http://twitter.com/realDonaldTrump/status/968825596133478400"", ""Access details here"")"
2018-02-28,"The Heritage Foundation has just stated that 64% of the Trump Agenda is already done, faster than even Ronald Reaga… https://t.co/MxsE3dtLnd","The Heritage Foundation has just stated that 64% of the Trump Agenda is already done, faster than even Ronald Reaga… https://t.co/MxsE3dtLnd","=HYPERLINK(""http://twitter.com/realDonaldTrump/status/968818810005450752"", ""Access details here"")"
2018-02-28,Big legal win today. U.S. judge sided with the Trump Administration and rejected the attempt to stop the government… https://t.co/zxoD3cKbaA,Big legal win today. U.S. judge sided with the Trump Administration and rejected the attempt to stop the government… https://t.co/zxoD3cKbaA,"=HYPERLINK(""http://twitter.com/realDonaldTrump/status/968704442110545923"", ""Access details here"")"
2018-02-28,"Such a beautiful map, thank you! https://t.co/FyQdgKvsRO","Such a beautiful map, thank you! https://t.co/FyQdgKvsRO","=HYPERLINK(""http://twitter.com/realDonaldTrump/status/968702480753315840"", ""Access details here"")"
2018-02-27,.@SenatorWicker of Mississippi has been a great supporter and incredible help in getting our massive Tax Cut Bill d… https://t.co/NZAavAxY2F,.@SenatorWicker of Mississippi has been a great supporter and incredible help in getting our massive Tax Cut Bill d… https://t.co/NZAavAxY2F,"=HYPERLINK(""http://twitter.com/realDonaldTrump/status/968621347294318592"", ""Access details here"")"
2018-02-27,"Texas LC George P. Bush backed me when it wasn’t the politically correct thing to do, and I back him now. Also, AC… https://t.co/6YdVjdovKe","Texas LC George P. Bush backed me when it wasn’t the politically correct thing to do, and I back him now. Also, AC… https://t.co/6YdVjdovKe","=HYPERLINK(""http://twitter.com/realDonaldTrump/status/968620661349470209"", ""Access details here"")"
2018-02-27,“American consumers are the most confident they've been since 2000....A strong job market is boosting confidence. T… https://t.co/jabPYi1Opc,“American consumers are the most confident they've been since 2000....A strong job market is boosting confidence. T… https://t.co/jabPYi1Opc,"=HYPERLINK(""http://twitter.com/realDonaldTrump/status/968550893015707649"", ""Access details here"")"
2018-02-27,"I want to encourage all of my many Texas friends to vote in the primary for Governor Greg Abbott, Senator Ted Cruz,… https://t.co/hhYhBC3fk8","I want to encourage all of my many Texas friends to vote in the primary for Governor Greg Abbott, Senator Ted Cruz,… https://t.co/hhYhBC3fk8","=HYPERLINK(""http://twitter.com/realDonaldTrump/status/968549117625602054"", ""Access details here"")"
2018-02-27,WITCH HUNT!,WITCH HUNT!,"=HYPERLINK(""http://twitter.com/realDonaldTrump/status/968468176639004672"", ""Access details here"")"
2018-02-27,"“We’ve seen NO EVIDENCE OF COLLUSION....I have seen nothing, the firing of James Comey and all of the aftermath, th… https://t.co/smYiwXrZnh","“We’ve seen NO EVIDENCE OF COLLUSION....I have seen nothing, the firing of James Comey and all of the aftermath, th… https://t.co/smYiwXrZnh","=HYPERLINK(""http://twitter.com/realDonaldTrump/status/968467243192537088"", ""Access details here"")"
2018-02-27,“I’ve been skeptical about the collusion and obstruction claims for the last year. I just don’t see the evidence...… https://t.co/wUxgVpVTIN,“I’ve been skeptical about the collusion and obstruction claims for the last year. I just don’t see the evidence...… https://t.co/wUxgVpVTIN,"=HYPERLINK(""http://twitter.com/realDonaldTrump/status/968462966864609280"", ""Access details here"")"
2018-02-27,“He’s got a very good point. Somebody in the Justice Department has a treasure trove of evidence of Mrs. Clinton’s… https://t.co/IpmARu0gyP,“He’s got a very good point. Somebody in the Justice Department has a treasure trove of evidence of Mrs. Clinton’s… https://t.co/IpmARu0gyP,"=HYPERLINK(""http://twitter.com/realDonaldTrump/status/968455547094753281"", ""Access details here"")"
2018-02-25,RT @WhiteHouse: Merit-based immigration reform will benefit American workers and relieve the strain imposed by our current system on Federa…,RT @WhiteHouse: Merit-based immigration reform will benefit American workers and relieve the strain imposed by our current system on Federa…,"=HYPERLINK(""http://twitter.com/realDonaldTrump/status/967847560248426498"", ""Access details here"")"
2018-02-25,RT @VollrathTammie: @realDonaldTrump @FoxNews https://t.co/sERi7Vyh5I,RT @VollrathTammie: @realDonaldTrump @FoxNews https://t.co/sERi7Vyh5I,"=HYPERLINK(""http://twitter.com/realDonaldTrump/status/967609114238050304"", ""Access details here"")"
2018-02-25,"RT @FoxNews: President @realDonaldTrump on Dem FISA memo: ""A lot of bad things happened on the other side, not on this side, but the other…","RT @FoxNews: President @realDonaldTrump on Dem FISA memo: ""A lot of bad things happened on the other side, not on this side, but the other…","=HYPERLINK(""http://twitter.com/realDonaldTrump/status/967597887545896961"", ""Access details here"")"
2018-02-25,"RT @FoxNews: President @realDonaldTrump on DACA: ""I'm the one that's pushing DACA and the Democrats are nowhere to be found."" https://t.co/…","RT @FoxNews: President @realDonaldTrump on DACA: ""I'm the one that's pushing DACA and the Democrats are nowhere to be found."" https://t.co/…","=HYPERLINK(""http://twitter.com/realDonaldTrump/status/967597639293382657"", ""Access details here"")"
2018-02-25,I will be interviewed by @JudgeJeanine on @FoxNews at 9:00 P.M. Enjoy!,I will be interviewed by @JudgeJeanine on @FoxNews at 9:00 P.M. Enjoy!,"=HYPERLINK(""http://twitter.com/realDonaldTrump/status/967564998238142471"", ""Access details here"")"
2018-02-25,"“Congressman Schiff omitted and distorted key facts” @FoxNews  So, what else is new. He is a total phony!","“Congressman Schiff omitted and distorted key facts” @FoxNews  So, what else is new. He is a total phony!","=HYPERLINK(""http://twitter.com/realDonaldTrump/status/967563946063523840"", ""Access details here"")"
2018-02-24,"“Russians had no compromising information on Donald Trump” @FoxNews  Of course not, because there is none, and neve… https://t.co/R9sniNq1ar","“Russians had no compromising information on Donald Trump” @FoxNews  Of course not, because there is none, and neve… https://t.co/R9sniNq1ar","=HYPERLINK(""http://twitter.com/realDonaldTrump/status/967545724362739712"", ""Access details here"")"
2018-02-24,Dem Memo: FBI did not disclose who the clients were - the Clinton Campaign and the DNC. Wow!,Dem Memo: FBI did not disclose who the clients were - the Clinton Campaign and the DNC. Wow!,"=HYPERLINK(""http://twitter.com/realDonaldTrump/status/967539664692350977"", ""Access details here"")"
2018-02-24,The Democrat memo response on government surveillance abuses is a total political and legal BUST. Just confirms all… https://t.co/7xFWbPQ5Xh,The Democrat memo response on government surveillance abuses is a total political and legal BUST. Just confirms all… https://t.co/7xFWbPQ5Xh,"=HYPERLINK(""http://twitter.com/realDonaldTrump/status/967538684789739520"", ""Access details here"")"
2018-02-24,BIG CPAC STRAW POLL RESULTS: 93% APPROVE OF THE JOB PRESIDENT TRUMP IS DOING (Thank you!). 50% say President Trump… https://t.co/QavF7yVap4,BIG CPAC STRAW POLL RESULTS: 93% APPROVE OF THE JOB PRESIDENT TRUMP IS DOING (Thank you!). 50% say President Trump… https://t.co/QavF7yVap4,"=HYPERLINK(""http://twitter.com/realDonaldTrump/status/967526110249537542"", ""Access details here"")"
2018-02-24,"Dems are no longer talking DACA! “Out of sight, out of mind,” they say. DACA beneficiaries should not be happy. Nan… https://t.co/TZjolh9nkE","Dems are no longer talking DACA! “Out of sight, out of mind,” they say. DACA beneficiaries should not be happy. Nan… https://t.co/TZjolh9nkE","=HYPERLINK(""http://twitter.com/realDonaldTrump/status/967508938425069568"", ""Access details here"")"
2018-02-24,Unemployment claims are at the lowest level since 1973. Much of this has to do with the massive cutting of unnecess… https://t.co/3W7uDjmtZJ,Unemployment claims are at the lowest level since 1973. Much of this has to do with the massive cutting of unnecess… https://t.co/3W7uDjmtZJ,"=HYPERLINK(""http://twitter.com/realDonaldTrump/status/967506350283599874"", ""Access details here"")"
2018-02-24,Democrat judges have totally redrawn election lines in the great State of Pennsylvania. @FoxNews. This is very unfa… https://t.co/uErhBXPwuM,Democrat judges have totally redrawn election lines in the great State of Pennsylvania. @FoxNews. This is very unfa… https://t.co/uErhBXPwuM,"=HYPERLINK(""http://twitter.com/realDonaldTrump/status/967493467046899712"", ""Access details here"")"
2018-02-24,Armed Educators (and trusted people who work within a school) love our students and will protect them. Very smart p… https://t.co/wQSlkyUTzh,Armed Educators (and trusted people who work within a school) love our students and will protect them. Very smart p… https://t.co/wQSlkyUTzh,"=HYPERLINK(""http://twitter.com/realDonaldTrump/status/967472757025001472"", ""Access details here"")"
2018-02-24,RT @realDonaldTrump: I will be strongly pushing Comprehensive Background Checks with an emphasis on Mental Health. Raise age to 21 and end…,RT @realDonaldTrump: I will be strongly pushing Comprehensive Background Checks with an emphasis on Mental Health. Raise age to 21 and end…,"=HYPERLINK(""http://twitter.com/realDonaldTrump/status/967389553362423808"", ""Access details here"")"
2018-02-24,"So true Wayne, and Lowest black unemployment in history! https://t.co/gDxxJdZQUm","So true Wayne, and Lowest black unemployment in history! https://t.co/gDxxJdZQUm","=HYPERLINK(""http://twitter.com/realDonaldTrump/status/967388904952344577"", ""Access details here"")"
2018-02-23,Thank you to the great men and women of the United States @SecretService for a job well done!,Thank you to the great men and women of the United States @SecretService for a job well done!,"=HYPERLINK(""http://twitter.com/realDonaldTrump/status/967168890232082433"", ""Access details here"")"
2018-02-23,"Today, @FLOTUS Melania and I were honored to welcome Prime Minister @TurnbullMalcolm and Mrs. Turnbull of Australia… https://t.co/PeVPje9xba","Today, @FLOTUS Melania and I were honored to welcome Prime Minister @TurnbullMalcolm and Mrs. Turnbull of Australia… https://t.co/PeVPje9xba","=HYPERLINK(""http://twitter.com/realDonaldTrump/status/967146956094083073"", ""Access details here"")"
2018-02-23,"Our nation’s motto is IN GOD WE TRUST. This week, our nation lost an incredible leader who devoted his life to help… https://t.co/gQzYg1Xq8r","Our nation’s motto is IN GOD WE TRUST. This week, our nation lost an incredible leader who devoted his life to help… https://t.co/gQzYg1Xq8r","=HYPERLINK(""http://twitter.com/realDonaldTrump/status/967084806726127616"", ""Access details here"")"
2018-02-23,"We salute our great American flag, we put our hands on our hearts for the pledge of Allegiance, and we all PROUDLY… https://t.co/BoR8a2Kn29","We salute our great American flag, we put our hands on our hearts for the pledge of Allegiance, and we all PROUDLY… https://t.co/BoR8a2Kn29","=HYPERLINK(""http://twitter.com/realDonaldTrump/status/967083810981597185"", ""Access details here"")"
2018-02-23,"After years of rebuilding OTHER nations, we are finally rebuilding OUR nation - and we are restoring our confidence… https://t.co/LXqvjEMR5D","After years of rebuilding OTHER nations, we are finally rebuilding OUR nation - and we are restoring our confidence… https://t.co/LXqvjEMR5D","=HYPERLINK(""http://twitter.com/realDonaldTrump/status/967083281974951939"", ""Access details here"")"
2018-02-23,"For those of you who are still interested, the Democrats have totally forgotten about DACA. Not a lot of interest on this subject from them!","For those of you who are still interested, the Democrats have totally forgotten about DACA. Not a lot of interest on this subject from them!","=HYPERLINK(""http://twitter.com/realDonaldTrump/status/967023714268319744"", ""Access details here"")"
2018-02-23,"My daughter, Ivanka, just arrived in South Korea. We cannot have a better, or smarter, person representing our country.","My daughter, Ivanka, just arrived in South Korea. We cannot have a better, or smarter, person representing our country.","=HYPERLINK(""http://twitter.com/realDonaldTrump/status/967023015035797504"", ""Access details here"")"
2018-02-23,CPAC Today!,CPAC Today!,"=HYPERLINK(""http://twitter.com/realDonaldTrump/status/967021512455802881"", ""Access details here"")"
2018-02-23,"MS-13 gang members are being removed by our Great ICE and Border Patrol Agents by the thousands, but these killers… https://t.co/ktMXRRb97k","MS-13 gang members are being removed by our Great ICE and Border Patrol Agents by the thousands, but these killers… https://t.co/ktMXRRb97k","=HYPERLINK(""http://twitter.com/realDonaldTrump/status/966998215592677376"", ""Access details here"")"
2018-02-23,“School shooting survivor says he quit @CNN Town Hall after refusing scripted question.” @TuckerCarlson. Just like… https://t.co/wDQm1urt9V,“School shooting survivor says he quit @CNN Town Hall after refusing scripted question.” @TuckerCarlson. Just like… https://t.co/wDQm1urt9V,"=HYPERLINK(""http://twitter.com/realDonaldTrump/status/966846679784837120"", ""Access details here"")"
2018-02-22,"Today, it was my great honor to host a School Safety Roundtable at the @WhiteHouse with State and local leaders, la… https://t.co/BtEV9OqmNJ","Today, it was my great honor to host a School Safety Roundtable at the @WhiteHouse with State and local leaders, la… https://t.co/BtEV9OqmNJ","=HYPERLINK(""http://twitter.com/realDonaldTrump/status/966766375292358659"", ""Access details here"")"
